scan_date,ticker,direction,recommended_contract,recommended_dte,recommended_volume,recommended_oi,recommended_spread_pct,overnight_score,premium_score,active_days_20d,median_vol_20d,mean_vol_20d,max_vol_20d,scan_day_vs_mean_ratio,fillable_entry_day,next_day_pct,day2_pct,day3_pct,peak_return_3d,outcome_tier,is_win,ad_1,ad_5,ad_10,ad_25,ad_50
2026-04-13,FIGR,BULLISH,O:FIGR260508C00042000,24,20,0,0.0,4,0,0,0.0,0.0,0,20.0,False,-2.2240807090761368,-0.9730360525861363,-0.6672239581975834,2.807894195819653,directional,True,0,0,0,0,0
2026-04-13,INTU,BEARISH,O:INTU260424P00357500,10,27,0,0.0638,5,1,0,0.0,0.0,0,27.0,False,-0.7145983669963316,5.489389676457105,4.78291071664208,1.3831781690489315,directional,True,0,0,0,0,0
2026-04-13,FTNT,BEARISH,O:FTNT260529P00079000,45,20,0,0.0,4,0,0,0.0,0.0,0,20.0,False,-0.05080397734037,1.143001510856544,4.648211234288686,1.6890987273185418,directional,True,0,0,0,0,0
2026-04-13,DG,BEARISH,O:DG260424P00116000,10,10,62,0.0515,2,1,6,0.0,8.3,94,1.2048192771084336,False,0.2767032851673821,1.9285574028121288,3.530103321065839,1.3499903355031853,directional,True,6,4,3,2,2
2026-04-13,GLW,BULLISH,O:GLW260508C00195000,24,378,5,0.0925,6,0,4,0.0,0.35,3,378.0,True,-1.3415497378439445,-3.939028216897329,-5.18924368838574,-0.2625982109566707,wrong,False,4,0,0,0,0
2026-04-13,MDB,BEARISH,O:MDB260529P00240000,45,20,0,0.0205,6,0,0,0.0,0.0,0,20.0,False,-1.0756305143069202,3.353941542556857,6.352163712055751,2.176674853900223,directional,True,0,0,0,0,0
2026-04-13,FIS,BEARISH,O:FIS260529P00047000,45,35,35,0.0,4,0,2,0.0,3.5,35,10.0,False,1.1845779501105502,4.070643322903767,4.7167756448088864,0.3015272118730475,flat,False,2,2,2,2,0
2026-04-13,MA,BULLISH,O:MA260529C00525000,45,20,10,0.0435,4,0,1,0.0,1.0,20,20.0,False,0.9005413395200884,2.237607057425826,1.958389639259068,2.7252354479936813,directional,True,1,1,1,0,0
2026-04-13,JLL,BULLISH,O:JLL260515C00350000,31,11,14,0.0,4,0,0,0.0,0.0,0,11.0,False,0.9767644836008208,2.363342409280244,2.9980862185468213,3.962529702497182,strong,True,0,0,0,0,0
2026-04-13,KKR,BEARISH,O:KKR260424P00098000,10,22,3,0.0488,5,2,1,0.0,0.15,3,22.0,True,2.333401574460751,5.81821731620246,3.953532344677405,-0.4789083048212369,wrong,False,1,0,0,0,0
