regime_name,start_date,end_date,description
pre_ceasefire,2020-01-01,2026-04-07,Pre-ceasefire baseline regime (incl. Iran shock / record VRP / VIX peak 35.3)
post_ceasefire,2026-04-08,9999-12-31,Post-ceasefire regime (2026-Q2 war-chop; start of forward accumulation)
